feature_position,feature_name
0,_c0
1,age
2,cpg_74703
3,cpg_242380
4,cpg_160553
5,cpg_189361
6,cpg_268485
7,cpg_392645
8,cpg_216465
9,cpg_138290
10,cpg_259864
11,cpg_382620
12,cpg_255946
13,cpg_355122
14,cpg_249334
15,cpg_273027
16,cpg_299239
17,cpg_407749
18,cpg_275617
19,cpg_167233
20,cpg_177767
21,cpg_212404
22,cpg_151779
23,cpg_381433
24,cpg_266591
25,cpg_365549
26,cpg_344840
27,cpg_119389
28,cpg_224285
29,cpg_355613
30,cpg_409355
31,cpg_739
32,cpg_452088
33,cpg_373790
34,cpg_275465
35,cpg_142798
36,cpg_449773
37,cpg_241614
38,cpg_218332
39,cpg_373253
40,cpg_483770
41,cpg_176576
42,cpg_344583
43,cpg_263544
44,cpg_260834
45,cpg_198026
46,cpg_421349
47,cpg_449167
48,cpg_180813
49,cpg_200580
50,cpg_210570
51,cpg_457798
52,cpg_299631
53,cpg_401017
54,cpg_329146
55,cpg_158967
56,cpg_139820
57,cpg_461373
58,cpg_478343
59,cpg_382985
60,cpg_159845
61,cpg_274844
62,cpg_2585
63,cpg_426817
64,cpg_135667
65,cpg_370709
66,cpg_118574
67,cpg_296502
68,cpg_359984
69,cpg_208126
70,cpg_6012
71,cpg_212980
72,cpg_178022
73,cpg_257140
74,cpg_386788
75,cpg_446066
76,cpg_343303
77,cpg_274652
78,cpg_154193
79,cpg_465236
80,cpg_293256
81,cpg_327465
82,cpg_392790
83,cpg_314981
84,cpg_176672
85,cpg_213079
86,cpg_255339
87,cpg_383940
88,cpg_331400
89,cpg_343626
90,cpg_231984
91,cpg_283910
92,cpg_422543
93,cpg_144742
94,cpg_450914
95,cpg_434864
96,cpg_371190
97,cpg_288092
98,cpg_210888
99,cpg_160563
100,cpg_350754
101,cpg_477201
102,gender_index
103,type_index
